DataSource,Commodity,Year,USprod_Concentrate_t,USprod_Compounds-Metals_t,Imports_Compounds_t,Imports_Alloys_t,Imports_Metals_t,Exports_Ores-Compounds_t,Exports_Alloys_t,Exports_Metals_t,Consump_Compounds-Metals_t,Price_CeO2_dkg,Price_Dy2O3_dkg,Price_Eu2O3_dkg,Price_La2O3_dkg,Price_Mischmetal_dkg,Price_Nd2O3_dkg,Price_TbO2_dkg,Employment_m,NIR_Compounds-Metals_t,NIR_Concentrate_t
MCS2024,Rare Earths,2020,39000,0,6510,270,363,40000,625,25,6490,2,261,31,2,5,49,670,185,100,E
MCS2024,Rare Earths,2021,42000,120,7690,330,580,46000,825,20,"7,900",2,410,31,2,6,98,1346,293,>95,E
