DataSource,Commodity,Year,USprod_t,Imports_t,Exports_t,Consump_t,Price_dt,Employment_num,NIR_pct,Unnamed: 10
MCS2024,Lithium,2020,W,2460,1200,W,8600,70,>50,
MCS2024,Lithium,2021,W,2640,1870,W,12600,70,>25,
