DataSource,Commodity,Year,USprod_Primarykg,Imports_Metalkg,Imports_GaAskg,Exports_g,Consump_g,Price_High-puritydkg,Price_Low-puritydkg,Stocks_g,NIR_pct,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
MCS2024,Gallium,2020,0,4430,208000,,15700,596,163,2920,100,,,,,,,,,
MCS2024,Gallium,2021,0,8890,306000,,17100,625,254,2810,100,,,,,,,,,
