DataSource,Commodity,Year,USprod_Primary_kg,Imports_Metal_kg,Imports_GaAs_kg,Exports_kg,Consump_kg,Price_High-purity_dkg,Price_Low-purity_dkg,Stocks_kg,NIR_pct
MCS2022,Gallium,2020,0,4460,178000,,15700,596,163,2920,100
MCS2022,Gallium,2021,0,10600,270000,,16000,570,200,2800,100
