DataSource,Commodity,Year,USprod_Mine_t,USprod_Secondary_t,Imports_Concentrate_t,Imports_Other_t,Exports_Concentrate_t,Exports_Other_t,Shipments_Concentrate_t,Shipments_Other_t,Consump_Reported_t,Consump_Apparent_t,Price_WO3_dt,Stocks_t,NIR_pct
MCS2022,Tungsten,2020,0,W,2020,8650,480,2460,728,34,W,W,270,W,>50
MCS2022,Tungsten,2021,0,W,1400,10000,390,2500,800,93,W,W,270,W,>50
