DataSource,Commodity,Year,USprod_Primary_kg,USprod_Secondary_kg,Imports_Metal_kg,Imports_GeO2_kg,Exports_kg,Shipments_Gov_kg,Consump_kg,Price_Metal_dkg,Price_GeO2_dkg,NIR_pct
MCS2023,Germanium,2020,0,W,14000,12000,4800,0,30000,1046,724,>50
MCS2023,Germanium,2021,0,W,13000,17000,7500,0,30000,1187,770,>50
