DataSource,Commodity,Year,USprod_t,Imports_t,Exports_t,Consump_t,Price_Flake_dt,Price_Lump_dt,Price_Amorphous_dt,NIR_pct
MCS2023,Graphite (Natural),2020,0,36000,5930,30000,1340,2940,567,100
MCS2023,Graphite (Natural),2021,0,53100,8670,44400,1390,2010,622,100
